NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
KOI 4259.01,0.909178,0.0171853,1.1700000000040374,,,01,KOI 4259
KOI 2700.01,0.91002,0.016,1.260000000004348,,,01,KOI 2700
KOI 4875.01,0.912163,0.0149685,0.9700000000033472,,,01,KOI 4875
KOI 2798.01,0.91614314,0.016,1.4200000000049,,,01,KOI 2798
KOI 1546.01,0.9175471,0.018,9.500000000032783,,,01,KOI 1546
KOI 1688.01,0.921056,0.018,1.120000000003865,,,01,KOI 1688
KOI 1428.01,0.9278551,0.017,1.4600000000050382,,,01,KOI 1428
KOI 1202.01,0.9282974,0.016,1.1700000000040374,,,01,KOI 1202
KOI 2717.01,0.929908,0.02,1.8900000000065218,,,01,KOI 2717
KOI 1988.01,0.9348918,0.016,1.100000000003796,,,01,KOI 1988
KOI 2753.01,0.93512,0.019,1.1500000000039685,,,01,KOI 2753
KOI 1655.01,0.9384704,0.019,1.5300000000052798,,,01,KOI 1655
KOI 3867.01,0.9387678,0.0185813,1.6900000000058317,,,01,KOI 3867
KOI 2716.01,0.96286,0.019,2.1000000000072467,,,01,KOI 2716
KOI 2517.01,0.96852,0.019,1.2500000000043137,,,01,KOI 2517
KOI 3106.01,0.9689595,0.02,1.5200000000052454,,,01,KOI 3106
KOI 4159.01,0.97197,0.0182129,0.6000000000020705,,,01,KOI 4159
KOI 1128.01,0.9748764,0.019,1.4100000000048654,,,01,KOI 1128
KOI 3145.02,0.9773107,0.017,0.8700000000030021,,,02,KOI 3145
KOI 2492.01,0.984938,0.02,0.9500000000032782,,,01,KOI 2492
KOI 500.05,0.9867679,0.017,1.1700000000040374,,,05,KOI 500
KOI 2882.02,0.9867866,0.017,1.100000000003796,,,02,KOI 2882
KOI 4327.01,0.9916987,0.0197375,1.0000000000034508,,,01,KOI 4327
KOI 2266.01,1.003965,0.019,2.070000000007143,,,01,KOI 2266
KOI 4169.01,1.0052209,0.0193097,1.8000000000062115,,,01,KOI 4169
KOI 1198.04,1.008617,0.021,1.4500000000050037,,,04,KOI 1198
KOI 4887.01,1.018317,0.0203468,0.610000000002105,,,01,KOI 4887
KOI 1059.01,1.022693,0.019,1.040000000003589,,,01,KOI 1059
KOI 2325.01,1.0258586,0.018,1.3400000000046242,,,01,KOI 2325
KOI 823.01,1.028414,0.021,8.700000000030021,,,01,KOI 823
KOI 938.02,1.045632,0.019,1.280000000004417,,,02,KOI 938
KOI 2759.01,1.0780909,0.018,1.500000000005176,,,01,KOI 2759
KOI 2350.01,1.0783902,0.019,1.6000000000055214,,,01,KOI 2350
KOI 3935.01,1.0936653,0.020683,1.7800000000061427,,,01,KOI 3935
KOI 2223.01,1.1044547,0.019,1.5400000000053145,,,01,KOI 2223
KOI 2675.02,1.1161312,0.021,0.9000000000031058,,,02,KOI 2675
